41,23,1
31,33,0
33,31,1
42,22,1
19,45,0
43,21,1
38,26,1
35,29,1
25,39,0
40,24,1
48,16,1
35,29,1
25,39,0
25,39,0
38,26,1
42,22,1
19,45,0
36,28,1
35,29,1
21,43,0
23,41,0
28,36,0
30,34,0
42,22,1
28,36,0
29,35,0
29,35,0
43,21,1
14,50,0
36,28,1
21,43,0
25,39,0
41,23,1
33,31,1
37,27,1
35,29,1
45,19,1
45,19,1
37,27,1
26,38,0
35,29,1
45,19,1
40,24,1
30,34,0
28,36,0
20,44,0
38,26,1
48,16,1
37,27,1
41,23,1
33,31,1
44,20,1
43,21,1
15,49,0
24,40,0
42,22,1
31,33,0
27,37,0
36,28,1
35,29,1
35,29,1
38,26,1
43,20,1
28,36,0
40,24,1
48,16,1
27,37,0
50,14,1
44,20,1
47,17,1
28,36,0
48,16,1
34,30,1
32,32,0
39,25,1
43,21,1
31,33,0
28,36,0
43,21,1
27,37,0
52,12,1
42,22,1
54,10,1
42,22,1
29,35,0
36,28,1
41,23,1
47,17,1
21,43,0
48,16,1
30,34,0
19,45,0
28,36,0
48,16,1
43,21,1
38,26,1
39,25,1
34,30,1
37,27,1
26,38,0
42,22,1
43,21,1
20,44,0
41,23,1
31,33,0
35,29,1
34,30,1
34,30,1
36,28,1
31,33,0
34,30,1
43,21,1
41,23,1
48,16,1
37,27,1
30,34,0
36,27,1
42,22,1
25,39,0
43,21,1
42,22,1
28,36,0
42,22,1
22,42,0
39,25,1
51,13,1
27,36,0
38,26,1
58,6,1
27,37,0
40,24,1
32,32,0
35,29,1
53,11,1
38,26,1
54,10,1
22,42,0
25,39,0
49,15,1
41,23,1
19,45,0
40,24,1
25,39,0
39,25,1
49,15,1
20,44,0
21,43,0
46,18,1
46,18,1
56,8,1
45,19,1
40,24,1
43,21,1
46,18,1
31,33,0
34,30,1
25,39,0
31,33,0
26,38,0
46,18,1
39,25,1
37,27,1
33,31,1
33,31,1
51,13,1
24,40,0
28,36,0
26,38,0
36,28,1
38,26,1
42,22,1
18,46,0
25,39,0
39,25,1
33,31,1
33,31,1
47,17,1
13,51,0
30,34,0
44,20,1
17,47,0
23,41,0
42,22,1
24,40,0
39,25,1
43,21,1
34,30,1
41,23,1
47,17,1
25,39,0
42,22,1
41,23,1
32,32,0
49,15,1
25,39,0
34,30,1
19,45,0
32,32,0
45,19,1
35,29,1
