38,26,1
41,22,1
53,11,1
16,48,0
33,31,1
30,34,0
53,11,1
41,23,1
39,25,1
50,14,1
27,37,0
48,16,1
49,15,1
33,31,1
47,17,1
48,16,1
33,31,1
28,36,0
25,39,0
9,55,0
53,11,1
25,39,0
47,17,1
49,15,1
40,24,1
36,28,1
42,22,1
46,18,1
42,22,1
25,39,0
49,15,1
20,44,0
27,37,0
33,31,1
35,29,1
43,21,1
38,26,1
43,21,1
22,42,0
28,36,0
27,37,0
35,29,1
43,21,1
46,18,1
22,42,0
34,30,1
51,13,1
52,12,1
34,30,1
29,35,0
28,36,0
15,49,0
39,25,1
32,32,0
41,23,1
22,42,0
47,17,1
28,36,0
47,17,1
25,39,0
52,12,1
46,18,1
18,46,0
54,10,1
22,42,0
26,38,0
34,30,1
44,20,1
11,53,0
36,28,1
55,9,1
15,49,0
41,23,1
32,32,0
8,56,0
33,31,1
40,24,1
44,20,1
39,25,1
41,23,1
0,38,0
51,13,1
48,16,1
50,14,1
37,27,1
15,49,0
27,37,0
28,36,0
38,26,1
31,33,0
34,30,1
39,25,1
43,21,1
17,47,0
28,36,0
47,17,1
25,39,0
24,40,0
47,17,1
23,41,0
37,27,1
37,27,1
36,28,1
38,26,1
51,13,1
32,32,0
53,11,1
42,22,1
38,26,1
26,38,0
8,56,0
32,32,0
43,21,1
45,19,1
32,32,0
39,25,1
6,58,0
24,40,0
46,18,1
39,25,1
34,30,1
37,27,1
40,24,1
51,13,1
45,19,1
44,20,1
41,23,1
34,30,1
24,40,0
33,31,1
23,41,0
34,30,1
49,14,1
21,43,0
44,20,1
20,44,0
34,30,1
34,30,1
27,37,0
20,44,0
22,42,0
33,31,1
43,21,1
47,17,1
18,45,0
26,38,0
34,30,1
20,44,0
29,35,0
14,50,0
41,23,1
37,27,1
50,14,1
45,19,1
45,19,1
41,23,1
30,34,0
27,37,0
58,6,1
41,23,1
18,46,0
22,42,0
24,40,0
28,36,0
42,22,1
20,44,0
44,20,1
47,17,1
39,25,1
38,26,1
48,16,1
37,27,1
25,39,0
43,21,1
38,26,1
42,22,1
27,37,0
46,18,1
28,36,0
27,37,0
31,33,0
53,11,1
31,32,0
34,30,1
25,39,0
18,46,0
42,22,1
46,18,1
48,16,1
43,21,1
34,30,1
28,36,0
37,27,1
49,15,1
20,44,0
38,26,1
36,28,1
54,10,1
33,31,1
42,22,1
38,26,1
43,21,1
38,26,1
36,28,1
34,30,1
29,35,0
33,31,1
29,35,0
47,17,1
30,34,0
23,41,0
13,51,0
29,35,0
52,12,1
15,49,0
50,14,1
43,21,1
34,30,1
11,53,0
46,18,1
34,30,1
14,49,0
28,36,0
33,31,1
42,22,1
26,38,0
35,29,1
42,22,1
31,33,0
20,44,0
46,18,1
42,22,1
14,50,0
30,34,0
48,16,1
24,40,0
43,21,1
33,31,1
41,23,1
37,27,1
36,28,1
45,19,1
33,31,1
23,41,0
39,25,1
25,39,0
18,46,0
42,22,1
30,34,0
39,25,1
26,38,0
21,43,0
16,48,0
25,39,0
56,8,1
33,31,1
32,32,0
47,17,1
49,15,1
21,43,0
27,37,0
27,37,0
33,31,1
43,21,1
35,29,1
35,29,1
39,25,1
37,27,1
22,42,0
48,16,1
44,20,1
36,28,1
38,26,1
40,24,1
40,24,1
52,12,1
15,48,0
17,47,0
28,36,0
43,21,1
45,19,1
38,26,1
23,41,0
21,43,0
33,31,1
34,30,1
42,22,1
46,18,1
42,22,1
15,49,0
37,27,1
39,25,1
42,22,1
28,36,0
36,28,1
52,12,1
37,27,1
44,20,1
26,38,0
40,24,1
46,18,1
36,28,1
53,11,1
22,42,0
50,14,1
33,31,1
26,38,0
33,31,1
25,39,0
36,28,1
39,25,1
15,49,0
24,40,0
33,31,1
34,30,1
49,15,1
41,23,1
43,21,1
56,8,1
33,31,1
28,36,0
36,28,1
37,27,1
23,41,0
54,10,1
36,28,1
30,34,0
34,30,1
4,60,0
35,29,1
34,30,1
34,30,1
29,35,0
44,20,1
18,46,0
38,26,1
34,30,1
44,20,1
43,21,1
54,10,1
47,17,1
34,30,1
36,28,1
27,37,0
36,28,1
48,16,1
19,45,0
54,10,1
23,41,0
29,35,0
34,30,1
33,31,1
23,41,0
40,24,1
52,12,1
45,19,1
39,25,1
27,37,0
38,26,1
27,37,0
46,18,1
39,25,1
18,46,0
29,35,0
42,22,1
39,25,1
33,31,1
38,26,1
42,22,1
37,27,1
23,41,0
23,41,0
29,35,0
16,47,0
54,10,1
33,31,1
33,31,1
37,27,1
36,28,1
21,43,0
26,38,0
26,38,0
54,10,1
17,47,0
37,27,1
53,11,1
26,38,0
48,16,1
32,32,0
21,43,0
35,29,1
37,27,1
49,15,1
34,30,1
52,12,1
36,28,1
39,25,1
47,17,1
34,30,1
42,22,1
33,31,1
39,25,1
12,52,0
36,28,1
17,47,0
34,30,1
54,10,1
45,19,1
42,22,1
